id;asset_type;asset_code;reference;description;status;criticality;geofence_policy;responsible_name;cost_center;brand;model;serial_number;power_kw;voltage_v;current_a;cos_phi;speed_rpm;ip_rating;insulation_class;mounting_type;shaft_diameter_mm;foot_distance_amm;foot_distance_bmm;front_flange_mm;rear_flange_mm;iec_axis_height_mm;dimensions_source;has_heating;temperature_probe_type;last_commissioning_date;last_maintenance_date;maintenance_count;production_line_id
100;NON_INDUSTRIAL_ASSET;ELEC-ARM-308-01;ELEC-ARM-308-01;Armoire electrique BT Atelier Broyage;ACTIVE;HIGH;ZONE_ONLY;Responsable Maintenance;CC-UTIL-308;SCHNEIDER;Prisma_P;ARM308BT01;;;;;;IP54;;;;;;;;;MANUAL;false;NONE;2023-06-15;2025-05-10;2;10
101;NON_INDUSTRIAL_ASSET;UPS-JLF-01;UPS-JLF-01;Onduleur industriel secours salle controle;ACTIVE;HIGH;SITE_ONLY;Responsable_IT_OT;CC-UTIL-SITE;APC;Galaxy_VS;UPS-JLF-0001;20;400;;;;IP20;;;;;;;;;MANUAL;false;NONE;2022-11-20;2025-04-02;1;10
102;NON_INDUSTRIAL_ASSET;COMP-AIR-308-01;COMP-AIR-308-01;Compresseur air auxiliaire Broyage;ACTIVE;MEDIUM;ZONE_ONLY;Responsable_Utilites;CC-UTIL-308;ATLAS_COPCO;GA37;AC-GA37-308;37;400;;;;IP55;;;;;;;;;MANUAL;false;NONE;2023-03-10;2025-06-18;1;10
103;NON_INDUSTRIAL_ASSET;VENT-308-EXH-01;VENT-308-EXH-01;Ventilateur extraction poussieres Atelier 308;ACTIVE;MEDIUM;ZONE_ONLY;Responsable_Securite;CC-UTIL-308;COMEFRI;TLZ_630;VENT30801;15;400;;;;IP55;;;;;;;;;MANUAL;false;NONE;2023-08-05;2025-05-28;1;10
104;NON_INDUSTRIAL_ASSET;HYD-GRP-308-01;HYD-GRP-308-01;Groupe hydraulique auxiliaire convoyeurs;ACTIVE;HIGH;ZONE_ONLY;Responsable Maintenance;CC-UTIL-308;BOSCH_REXROTH;HYDR-UNIT-90;HYD308A;22;400;;;;IP55;;;;;;;;;MANUAL;false;NONE;2022-09-18;2025-03-12;2;10
105;NON_INDUSTRIAL_ASSET;CONV-AUX-308-01;CONV-AUX-308-01;Convoyeur secondaire evacuation dechets;ACTIVE;LOW;ZONE_ONLY;Chef Atelier;CC-UTIL-308;RULMECA;CV-AUX-800;CV308AUX;;;;;;IP54;;;;;;;;;MANUAL;false;NONE;2024-01-25;2025-06-01;0;10
106;NON_INDUSTRIAL_ASSET;PUMP-UTIL-308-01;PUMP-UTIL-308-01;Pompe utilites eau industrielle;ACTIVE;MEDIUM;ZONE_ONLY;Responsable_Utilites;CC-UTIL-308;KSB;ETANORM_50-200;KSB30801;11;400;;;;IP55;;;;;;;;;MANUAL;false;NONE;2023-05-02;2025-04-22;1;10
107;NON_INDUSTRIAL_ASSET;LUBE-STAT-308-01;LUBE-STAT-308-01;Station de graissage centralisee;ACTIVE;LOW;ZONE_ONLY;Responsable Maintenance;CC-UTIL-308;SKF;Multiline;SKF308LUBE;;;;;;IP54;;;;;;;;;MANUAL;false;NONE;2024-02-10;2025-07-05;0;10
108;NON_INDUSTRIAL_ASSET;MOBILE-CART-01;MOBILE-CART-01;Chariot mobile maintenance electrique;ACTIVE;LOW;SITE_ONLY;Magasin Technique;CC-LOG-SITE;FACOM;ROLL_CAB;FACOM-CART-01;;;;;;IP20;;;;;;;;;MANUAL;false;NONE;2024-06-01;2025-06-15;0;10
109;NON_INDUSTRIAL_ASSET;CTRL-PANEL-308-01;CTRL-PANEL-308-01;Pupitre commande local convoyeurs;ACTIVE;MEDIUM;ZONE_ONLY;Chef Atelier;CC-UTIL-308;SIEMENS;TP1200_Comfort;HMI30801;;;;;;IP65;;;;;;;;;MANUAL;false;NONE;2023-10-12;2025-05-30;1;10
